2025-09-20 02:57:01.731 | TRACE    | audio | add_audio_chunk:577 | PCM解码完成: samples=4096
2025-09-20 02:57:01.731 | INFO     | audio | add_audio_chunk:657 | AGC已应用: 原始RMS=0.002116, 增益=10.00
2025-09-20 02:57:01.731 | DEBUG    | audio | add_audio_chunk:668 | 音频质量分析: samples=4096, max_amp=0.0620, rms_amp=0.0212, mean_amp=0.0171, non_zero_ratio=0.995, zero_ratio=0.005
2025-09-20 02:57:01.733 | DEBUG    | audio | add_audio_chunk:739 | 🎵 音频活动[中]: max_amp=0.061951 > 0.003
2025-09-20 02:57:01.734 | DEBUG    | audio | add_audio_chunk:743 | 音频块处理完成: format=pcm, samples=4096, max_amp=0.0620, rms_amp=0.0212, buffer_before=32768, buffer_after=36864, trimmed=False, processing_time=6.5ms
2025-09-20 02:57:01.739 | INFO     | audio | add_audio_chunk:775 | ✅ 标准音频输入: RMS=0.021161, 时长=0.26s
2025-09-20 02:57:01.987 | TRACE    | audio | add_audio_chunk:525 | 收到音频块: format=pcm, raw_size=8192 bytes, sample_rate=16000
2025-09-20 02:57:01.990 | TRACE    | audio | add_audio_chunk:577 | PCM解码完成: samples=4096
2025-09-20 02:57:01.990 | INFO     | audio | add_audio_chunk:657 | AGC已应用: 原始RMS=0.001916, 增益=10.00
2025-09-20 02:57:01.991 | DEBUG    | audio | add_audio_chunk:668 | 音频质量分析: samples=4096, max_amp=0.0595, rms_amp=0.0192, mean_amp=0.0156, non_zero_ratio=0.995, zero_ratio=0.005
2025-09-20 02:57:01.993 | DEBUG    | audio | add_audio_chunk:739 | 🎵 音频活动[中]: max_amp=0.059509 > 0.003
2025-09-20 02:57:01.993 | DEBUG    | audio | add_audio_chunk:743 | 音频块处理完成: format=pcm, samples=4096, max_amp=0.0595, rms_amp=0.0192, buffer_before=36864, buffer_after=40960, trimmed=False, processing_time=6.0ms
2025-09-20 02:57:01.998 | INFO     | audio | add_audio_chunk:775 | ✅ 标准音频输入: RMS=0.019156, 时长=0.26s
2025-09-20 02:57:02.243 | TRACE    | audio | add_audio_chunk:525 | 收到音频块: format=pcm, raw_size=8192 bytes, sample_rate=16000
2025-09-20 02:57:02.247 | TRACE    | audio | add_audio_chunk:577 | PCM解码完成: samples=4096
2025-09-20 02:57:02.247 | INFO     | audio | add_audio_chunk:657 | AGC已应用: 原始RMS=0.002023, 增益=10.00
2025-09-20 02:57:02.247 | DEBUG    | audio | add_audio_chunk:668 | 音频质量分析: samples=4096, max_amp=0.0754, rms_amp=0.0202, mean_amp=0.0163, non_zero_ratio=0.993, zero_ratio=0.007
2025-09-20 02:57:02.250 | DEBUG    | audio | add_audio_chunk:739 | 🎵 音频活动[中]: max_amp=0.075378 > 0.003
2025-09-20 02:57:02.250 | DEBUG    | audio | add_audio_chunk:743 | 音频块处理完成: format=pcm, samples=4096, max_amp=0.0754, rms_amp=0.0202, buffer_before=40960, buffer_after=45056, trimmed=False, processing_time=6.9ms
2025-09-20 02:57:02.254 | INFO     | audio | add_audio_chunk:775 | ✅ 标准音频输入: RMS=0.020227, 时长=0.26s
2025-09-20 02:57:02.497 | TRACE    | audio | add_audio_chunk:525 | 收到音频块: format=pcm, raw_size=8192 bytes, sample_rate=16000
2025-09-20 02:57:02.502 | TRACE    | audio | add_audio_chunk:577 | PCM解码完成: samples=4096
2025-09-20 02:57:02.502 | INFO     | audio | add_audio_chunk:657 | AGC已应用: 原始RMS=0.002613, 增益=10.00
2025-09-20 02:57:02.503 | DEBUG    | audio | add_audio_chunk:668 | 音频质量分析: samples=4096, max_amp=0.0769, rms_amp=0.0261, mean_amp=0.0208, non_zero_ratio=0.997, zero_ratio=0.003
2025-09-20 02:57:02.505 | DEBUG    | audio | add_audio_chunk:739 | 🎵 音频活动[中]: max_amp=0.076904 > 0.003
2025-09-20 02:57:02.505 | DEBUG    | audio | add_audio_chunk:743 | 音频块处理完成: format=pcm, samples=4096, max_amp=0.0769, rms_amp=0.0261, buffer_before=45056, buffer_after=49152, trimmed=False, processing_time=8.0ms
2025-09-20 02:57:02.511 | INFO     | audio | add_audio_chunk:775 | ✅ 标准音频输入: RMS=0.026131, 时长=0.26s
2025-09-20 02:57:02.747 | TRACE    | audio | add_audio_chunk:525 | 收到音频块: format=pcm, raw_size=8192 bytes, sample_rate=16000
2025-09-20 02:57:02.751 | TRACE    | audio | add_audio_chunk:577 | PCM解码完成: samples=4096
2025-09-20 02:57:02.752 | INFO     | audio | add_audio_chunk:657 | AGC已应用: 原始RMS=0.001766, 增益=10.00
2025-09-20 02:57:02.752 | DEBUG    | audio | add_audio_chunk:668 | 音频质量分析: samples=4096, max_amp=0.0592, rms_amp=0.0177, mean_amp=0.0137, non_zero_ratio=0.992, zero_ratio=0.008
2025-09-20 02:57:02.754 | DEBUG    | audio | add_audio_chunk:739 | 🎵 音频活动[中]: max_amp=0.059204 > 0.003
2025-09-20 02:57:02.754 | DEBUG    | audio | add_audio_chunk:743 | 音频块处理完成: format=pcm, samples=4096, max_amp=0.0592, rms_amp=0.0177, buffer_before=49152, buffer_after=53248, trimmed=False, processing_time=7.1ms
2025-09-20 02:57:02.759 | INFO     | audio | add_audio_chunk:775 | ✅ 标准音频输入: RMS=0.017657, 时长=0.26s
2025-09-20 02:57:03.007 | TRACE    | audio | add_audio_chunk:525 | 收到音频块: format=pcm, raw_size=8192 bytes, sample_rate=16000
2025-09-20 02:57:03.011 | TRACE    | audio | add_audio_chunk:577 | PCM解码完成: samples=4096
2025-09-20 02:57:03.011 | INFO     | audio | add_audio_chunk:657 | AGC已应用: 原始RMS=0.001071, 增益=10.00
2025-09-20 02:57:03.011 | DEBUG    | audio | add_audio_chunk:668 | 音频质量分析: samples=4096, max_amp=0.0281, rms_amp=0.0107, mean_amp=0.0089, non_zero_ratio=0.990, zero_ratio=0.010
2025-09-20 02:57:03.013 | DEBUG    | audio | add_audio_chunk:739 | 🎵 音频活动[低]: max_amp=0.028076 > 0.003
2025-09-20 02:57:03.014 | DEBUG    | audio | add_audio_chunk:743 | 音频块处理完成: format=pcm, samples=4096, max_amp=0.0281, rms_amp=0.0107, buffer_before=53248, buffer_after=57344, trimmed=False, processing_time=6.6ms
2025-09-20 02:57:03.018 | INFO     | audio | add_audio_chunk:775 | ✅ 标准音频输入: RMS=0.010713, 时长=0.26s
