2025-09-20 02:57:34.589 | INFO     | key | session=d021721b save_chunk#133 file=chunk_133_4096.wav samples=4096 rms=0.014950
2025-09-20 02:57:34.855 | INFO     | key | session=d021721b save_chunk#134 file=chunk_134_4096.wav samples=4096 rms=0.016987
2025-09-20 02:57:35.107 | INFO     | key | session=d021721b save_chunk#135 file=chunk_135_4096.wav samples=4096 rms=0.017187
2025-09-20 02:57:35.362 | INFO     | key | session=d021721b save_chunk#136 file=chunk_136_4096.wav samples=4096 rms=0.018859
2025-09-20 02:57:35.610 | INFO     | key | session=d021721b save_chunk#137 file=chunk_137_4096.wav samples=4096 rms=0.030000
2025-09-20 02:57:35.870 | INFO     | key | session=d021721b save_chunk#138 file=chunk_138_4096.wav samples=4096 rms=0.030000
2025-09-20 02:57:36.129 | INFO     | key | session=d021721b save_chunk#139 file=chunk_139_4096.wav samples=4096 rms=0.016662
2025-09-20 02:57:36.378 | INFO     | key | session=d021721b save_chunk#140 file=chunk_140_4096.wav samples=4096 rms=0.024334
2025-09-20 02:57:36.654 | INFO     | key | session=d021721b save_chunk#141 file=chunk_141_4096.wav samples=4096 rms=0.026268
2025-09-20 02:57:36.892 | INFO     | key | session=d021721b save_chunk#142 file=chunk_142_4096.wav samples=4096 rms=0.014538
2025-09-20 02:57:37.155 | INFO     | key | session=d021721b save_chunk#143 file=chunk_143_4096.wav samples=4096 rms=0.023657
2025-09-20 02:57:37.411 | INFO     | key | session=d021721b save_chunk#144 file=chunk_144_4096.wav samples=4096 rms=0.026586
2025-09-20 02:57:37.661 | INFO     | key | session=d021721b save_chunk#145 file=chunk_145_4096.wav samples=4096 rms=0.016414
2025-09-20 02:57:37.920 | INFO     | key | session=d021721b save_chunk#146 file=chunk_146_4096.wav samples=4096 rms=0.013393
2025-09-20 02:57:38.169 | INFO     | key | session=d021721b save_chunk#147 file=chunk_147_4096.wav samples=4096 rms=0.011427
2025-09-20 02:57:38.433 | INFO     | key | session=d021721b save_chunk#148 file=chunk_148_4096.wav samples=4096 rms=0.012035
2025-09-20 02:57:38.691 | INFO     | key | session=d021721b save_chunk#149 file=chunk_149_4096.wav samples=4096 rms=0.012841
2025-09-20 02:57:38.943 | INFO     | key | session=d021721b save_chunk#150 file=chunk_150_4096.wav samples=4096 rms=0.015142
2025-09-20 02:57:39.211 | INFO     | key | session=d021721b save_chunk#151 file=chunk_151_4096.wav samples=4096 rms=0.017669
2025-09-20 02:57:39.456 | INFO     | key | session=d021721b save_chunk#152 file=chunk_152_4096.wav samples=4096 rms=0.013683
2025-09-20 02:57:39.711 | INFO     | key | session=d021721b save_chunk#153 file=chunk_153_4096.wav samples=4096 rms=0.012088
2025-09-20 02:57:39.970 | INFO     | key | session=d021721b save_chunk#154 file=chunk_154_4096.wav samples=4096 rms=0.010184
2025-09-20 02:57:40.231 | INFO     | key | session=d021721b save_chunk#155 file=chunk_155_4096.wav samples=4096 rms=0.009357
2025-09-20 02:57:40.492 | INFO     | key | session=d021721b save_chunk#156 file=chunk_156_4096.wav samples=4096 rms=0.010579
2025-09-20 02:57:40.744 | INFO     | key | session=d021721b save_chunk#157 file=chunk_157_4096.wav samples=4096 rms=0.015534
2025-09-20 02:57:41.001 | INFO     | key | session=d021721b save_chunk#158 file=chunk_158_4096.wav samples=4096 rms=0.015955
2025-09-20 02:57:41.250 | INFO     | key | session=d021721b save_chunk#159 file=chunk_159_4096.wav samples=4096 rms=0.014031
2025-09-20 02:57:41.512 | INFO     | key | session=d021721b save_chunk#160 file=chunk_160_4096.wav samples=4096 rms=0.013805
2025-09-20 02:57:41.788 | INFO     | key | session=d021721b save_chunk#161 file=chunk_161_4096.wav samples=4096 rms=0.009591
2025-09-20 02:57:42.032 | INFO     | key | session=d021721b save_chunk#162 file=chunk_162_4096.wav samples=4096 rms=0.013463
2025-09-20 02:57:42.292 | INFO     | key | session=d021721b save_chunk#163 file=chunk_163_4096.wav samples=4096 rms=0.011325
2025-09-20 02:57:42.543 | INFO     | key | session=d021721b save_chunk#164 file=chunk_164_4096.wav samples=4096 rms=0.016416
2025-09-20 02:57:42.801 | INFO     | key | session=d021721b save_chunk#165 file=chunk_165_4096.wav samples=4096 rms=0.014655
2025-09-20 02:57:43.050 | INFO     | key | session=d021721b save_chunk#166 file=chunk_166_4096.wav samples=4096 rms=0.008648
2025-09-20 02:57:43.312 | INFO     | key | session=d021721b save_chunk#167 file=chunk_167_4096.wav samples=4096 rms=0.011017
2025-09-20 02:57:43.632 | INFO     | key | session=d021721b save_chunk#168 file=chunk_168_4096.wav samples=4096 rms=0.030000
2025-09-20 02:57:43.829 | INFO     | key | session=d021721b save_chunk#169 file=chunk_169_4096.wav samples=4096 rms=0.011438
2025-09-20 02:57:44.107 | INFO     | key | session=d021721b save_chunk#170 file=chunk_170_4096.wav samples=4096 rms=0.015200
2025-09-20 02:57:44.347 | INFO     | key | session=d021721b save_chunk#171 file=chunk_171_4096.wav samples=4096 rms=0.015886
2025-09-20 02:57:44.682 | INFO     | key | session=d021721b save_chunk#172 file=chunk_172_4096.wav samples=4096 rms=0.018279
2025-09-20 02:57:44.856 | INFO     | key | session=d021721b save_chunk#173 file=chunk_173_4096.wav samples=4096 rms=0.015699
2025-09-20 02:57:45.112 | INFO     | key | session=d021721b save_chunk#174 file=chunk_174_4096.wav samples=4096 rms=0.015035
2025-09-20 02:57:45.412 | INFO     | key | session=d021721b save_chunk#175 file=chunk_175_4096.wav samples=4096 rms=0.012918
2025-09-20 02:57:45.718 | INFO     | key | session=d021721b save_chunk#176 file=chunk_176_4096.wav samples=4096 rms=0.013218
2025-09-20 02:57:45.901 | INFO     | key | session=d021721b save_chunk#177 file=chunk_177_4096.wav samples=4096 rms=0.011272
2025-09-20 02:57:46.240 | INFO     | key | session=d021721b save_chunk#178 file=chunk_178_4096.wav samples=4096 rms=0.011961
2025-09-20 02:57:46.485 | INFO     | key | session=d021721b save_chunk#179 file=chunk_179_4096.wav samples=4096 rms=0.016628
2025-09-20 02:57:46.670 | INFO     | key | session=d021721b save_chunk#180 file=chunk_180_4096.wav samples=4096 rms=0.015016
2025-09-20 02:57:46.920 | INFO     | key | session=d021721b save_chunk#181 file=chunk_181_4096.wav samples=4096 rms=0.014778
2025-09-20 02:57:47.172 | INFO     | key | session=d021721b save_chunk#182 file=chunk_182_4096.wav samples=4096 rms=0.011187
2025-09-20 02:57:47.471 | INFO     | key | session=d021721b save_chunk#183 file=chunk_183_4096.wav samples=4096 rms=0.013270
2025-09-20 02:57:47.698 | INFO     | key | session=d021721b save_chunk#184 file=chunk_184_4096.wav samples=4096 rms=0.012115
2025-09-20 02:57:47.959 | INFO     | key | session=d021721b save_chunk#185 file=chunk_185_4096.wav samples=4096 rms=0.016748
2025-09-20 02:57:48.191 | INFO     | key | session=d021721b save_chunk#186 file=chunk_186_4096.wav samples=4096 rms=0.018665
2025-09-20 02:57:48.483 | INFO     | key | session=d021721b save_chunk#187 file=chunk_187_4096.wav samples=4096 rms=0.016104
2025-09-20 02:57:48.806 | INFO     | key | session=d021721b save_chunk#188 file=chunk_188_4096.wav samples=4096 rms=0.014709
2025-09-20 02:57:48.974 | INFO     | key | session=d021721b save_chunk#189 file=chunk_189_4096.wav samples=4096 rms=0.013566
2025-09-20 02:57:49.221 | INFO     | key | session=d021721b save_chunk#190 file=chunk_190_4096.wav samples=4096 rms=0.009402
2025-09-20 02:57:49.483 | INFO     | key | session=d021721b save_chunk#191 file=chunk_191_4096.wav samples=4096 rms=0.011133
2025-09-20 02:57:49.732 | INFO     | key | session=d021721b save_chunk#192 file=chunk_192_4096.wav samples=4096 rms=0.011311
2025-09-20 02:57:50.014 | INFO     | key | session=d021721b save_chunk#193 file=chunk_193_4096.wav samples=4096 rms=0.014071
2025-09-20 02:57:50.260 | INFO     | key | session=d021721b save_chunk#194 file=chunk_194_4096.wav samples=4096 rms=0.015911
2025-09-20 02:57:50.649 | INFO     | key | session=d021721b save_chunk#195 file=chunk_195_4096.wav samples=4096 rms=0.017447
2025-09-20 02:57:50.772 | INFO     | key | session=d021721b save_chunk#196 file=chunk_196_4096.wav samples=4096 rms=0.014296
2025-09-20 02:57:51.061 | INFO     | key | session=d021721b save_chunk#197 file=chunk_197_4096.wav samples=4096 rms=0.008705
2025-09-20 02:57:51.319 | INFO     | key | session=d021721b save_chunk#198 file=chunk_198_4096.wav samples=4096 rms=0.010018
2025-09-20 02:57:51.582 | INFO     | key | session=d021721b save_chunk#199 file=chunk_199_4096.wav samples=4096 rms=0.014411
2025-09-20 02:57:51.856 | INFO     | key | session=d021721b save_chunk#200 file=chunk_200_4096.wav samples=4096 rms=0.016084
2025-09-20 02:57:52.079 | INFO     | key | session=d021721b save_chunk#201 file=chunk_201_4096.wav samples=4096 rms=0.018823
2025-09-20 02:57:52.348 | INFO     | key | session=d021721b save_chunk#202 file=chunk_202_4096.wav samples=4096 rms=0.017626
2025-09-20 02:57:52.585 | INFO     | key | session=d021721b save_chunk#203 file=chunk_203_4096.wav samples=4096 rms=0.015698
2025-09-20 02:57:52.851 | INFO     | key | session=d021721b save_chunk#204 file=chunk_204_4096.wav samples=4096 rms=0.010574
2025-09-20 02:57:53.091 | INFO     | key | session=d021721b save_chunk#205 file=chunk_205_4096.wav samples=4096 rms=0.009028
2025-09-20 02:57:53.352 | INFO     | key | session=d021721b save_chunk#206 file=chunk_206_4096.wav samples=4096 rms=0.013740
2025-09-20 02:57:53.610 | INFO     | key | session=d021721b save_chunk#207 file=chunk_207_4096.wav samples=4096 rms=0.013343
2025-09-20 02:57:53.865 | INFO     | key | session=d021721b save_chunk#208 file=chunk_208_4096.wav samples=4096 rms=0.015041
2025-09-20 02:57:54.123 | INFO     | key | session=d021721b save_chunk#209 file=chunk_209_4096.wav samples=4096 rms=0.015994
2025-09-20 02:57:54.370 | INFO     | key | session=d021721b save_chunk#210 file=chunk_210_4096.wav samples=4096 rms=0.017642
2025-09-20 02:57:54.631 | INFO     | key | session=d021721b save_chunk#211 file=chunk_211_4096.wav samples=4096 rms=0.019860
2025-09-20 02:57:54.892 | INFO     | key | session=d021721b save_chunk#212 file=chunk_212_4096.wav samples=4096 rms=0.020559
2025-09-20 02:57:55.064 | INFO     | key | session=d021721b closed
2025-09-20 02:57:57.525 | INFO     | key | session=86e73a36 started
2025-09-20 02:57:59.994 | INFO     | key | session=86e73a36 save_chunk#1 file=chunk_1_4096.wav samples=4096 rms=0.030000
2025-09-20 02:58:00.007 | INFO     | key | session=86e73a36 save_chunk#2 file=chunk_2_4096.wav samples=4096 rms=0.030000
2025-09-20 02:58:00.019 | INFO     | key | session=86e73a36 save_chunk#3 file=chunk_3_4096.wav samples=4096 rms=0.030000
2025-09-20 02:58:00.032 | INFO     | key | session=86e73a36 save_chunk#4 file=chunk_4_4096.wav samples=4096 rms=0.030000
2025-09-20 02:58:00.044 | INFO     | key | session=86e73a36 save_chunk#5 file=chunk_5_4096.wav samples=4096 rms=0.030000
